Gallery of just intervals
See also list of superparticular intervals and List of intervals (Huygens-Fokker foundation)

If any FJS names are missing, please add them.

Frequency Ratio	Cents Value
(six decimal places)	Color Name	FJS Name	Some common names
35/29	325.562426	29uzy3, twenuzoyo 3rd	M33529	doublewide minor third
23/19	330.761331	23o19u3, twethonu 3rd	A22319	vicesimotertial supraminor third
17/14	336.129503	17or3, soru 3rd	m3175	septendecimal supraminor third
175/144	337.54333	zyy3, zoyoyo 3rd	M35,5,7	keemic minor third
73/60	339.520756	73og3, seventy-thogu 3rd	m3735	amity supraminor third
28/23	340.551559	23uz3, twethuzo 3rd	d4723	vicesimotertial neutral third
39/32	342.482663	3o3, tho 3rd	m313	lesser tridecimal neutral third, octave-reduced 39th harmonic
128/105	342.905379	rg3, rugu 3rd	m335	quasi-tempered 2/7-octave, 105th subharmonic
625/512	345.254855	Ly42, laquadyo 2nd	AA2625	5-limit neutral third ([-9, 0, 4⟩)
11/9	347.407941	1o3, ilo 3rd	m311	undecimal neutral third
60/49	350.616902	rry2, ruruyo 2nd	A2549	smaller septimal neutral third, (purple 3rd)
49/40	351.338099	zzg4, zozogu 4th	d4495	larger septimal neutral third, (purple 3rd)
27/22	354.547060	1u3, lu 3rd	M311	rastmic neutral third
16/13	359.472338	3u3, thu 3rd	M313	greater tridecimal neutral third, octave reduced 13subharmonic
21/17	365.825498	17uz3, suzo 3rd	M3717	septendecimal submajor third
26/21	369.746754	thoru 3rd, 3or3	m3137	tridecimal submajor third
51/41	377.848005	41u17o4, fowuso 4th	d41741	
56/45	378.602191	zg4, zogu 4th	d475	narrow perde segah, marvelous major third
71/57	380.228526	71o19u3, seventy-wonu 3rd	M37119	witchcraft major third
76/61	380.628211	61u19o4, siwuno 4th	d41961	magic major third
96/77	381.811152	1ur3, luru 3rd	M377	undecimal perde segah, keenanismic major third
5/4	386.313714	y3, yo 3rd	M35	classic major third, just major third, octave-reduced 5th harmonic
161/128	397.100254	23oz4, twethozo 4th	M3161	just/Pythagorean major third meantone, octave-reduced 161th harmonic
34/27	399.090407	17o4, iso 4th	d417	septendecimal quasi-tempered major third
63/50	400.108480	zgg4, zogugu 4th	d4725	quasi-tempered major third
24/19	404.441985	19u3, inu 3rd	M319	Boethius' major third
81/64	407.820003	Lw3, lawa 3rd	M3	Pythagorean major third, octave-reduced 81st harmonic
19/15	409.244301	19og4, nogu 4th	d4195	Eratosthenes' major third
33/26	412.745281	3u1o3, thulo 3rd	M31113	tridecimal major third
80/63	413.577806	ry3, ruyo 3rd	M357	5/7-kleismic major third
14/11	417.507964	1uz4, luzo 4th	P4711	undecimal major third, undecimal diminished fourth
23/18	424.364346	23o4, twetho 4th	M323	vicesimotertial diminished fourth
32/25	427.372572	gg4, gugu 4th	d425	classic diminished fourth
41/32	429.062406	41o3, fowo 3rd	M341	octave-reduced 41st harmonic, quadracesimoprimal supermajor third
77/60	431.875134	1ozg4, lozogu 4th	d4775	swetismic supermajor third
9/7	435.084095	r3, ru 3rd	M37	supermajor third, septimal major third
31/24	443.080572	31o3, thiwo 3rd	M331	sensi supermajor third
22/17	446.362533	17u1o3, sulo 3rd	M31117	septendecimal supermajor third
35/27	449.274618	zy4, zoyo 4th	P435	septimal semidiminished fourth
83/64	450.047318	83o4	P483	octave-reduced 83rd harmonic, octacesimotertial harmonic semisixth
13/10	454.213948	3og4, thogu 4th	d4135	tridecimal semisixth, Barbados third, tridecimal 9/4 tone
30/23	459.994368	23uy3, twethuyo 3rd	P4523	vicesimotertial ultramajor third
64/49	462.348187	rr3, ruru 3rd	M349	septatonic major third
17/13	464.427748	17o3u4, sothu 4th	P41713	septendecimal sub-fourth
21/16	470.780907	z4, zo 4th	P47	sub-fourth, narrow fourth, 8ve-reduced 21st harmonic
25/19	475.114412	19uyy3, nuyoyo 3rd	A35,519	undevicesimal augmented third, undevicesimal grave fourth
95/72	479.916728	19oy4, noyo 4th	P45,19	undevicesimal quasi-tempered 2/5-octave, undevicesimal "5EDO"-esque fourth
128/97	480.104589	97u4	P497	nonacesimoseptimal subharmonic fourth
33/25	480.645516	1ogg4, logugu 4th	d41125	ptolemismic fourth, "5EDO"-esque fourth
160/121	483.677829	1uuy4, luluyo 4th	A4511,11	narrow biyatismic fourth
324/245	483.854477	rrg3, rurugu 3rd	M35,7,7	sensamagic fourth
85/64	491.269123	17oy4, soyo 4th	P485	archagall fourth, septendecimal harmonic fourth
117/88	493.119721	3o1u4, tholu 4th	P41311	minthmic fourth ([-3, 2, 0, 0, -1, 1⟩)
4/3	498.044999	w4, wa 4th	P4	just perfect fourth, octave-reduced 3rd subharmonic, diatessaron
171/128	501.423018	19o4, ino 4th	P419	undevicesimal harmonic fourth
75/56	505.756522	ryy3, ruyoyo 3rd	A3257	marvelous fourth
121/90	512.412169	1oog4, lologu 4th	d411,115	wide biyatismic fourth
35/26	514.611959	3uzy4, thuzoyo 4th	A45,713	animist fourth
128/95	516.173270	19ug4, nugu 4th	P45,19	undevicesimal subharmonic fourth
27/20	519.551289	g4, gu 4th	P45	acute fourth, wolf fourth
875/648	519.947045	zy34, zotriyo 4th	A45,5,5,7	maviloid generator superfourth
23/17	523.318938	23o17u4, twethosu 4th	A32317	vicesimotertial acute fourth
19/14	528.687110	19or4, noru 4th	P4197	hendrix fourth
34/25	532.327982	17ogg5, sogugu 5th	dd5175,5	vengeance superfourth
49/36	533.741811	zz5, zozo 5th	d549	Arabic lute acute fourth
15/11	536.950772	1uy4, luyo 4th	A4511	sub-augmented fourth, undecimal augmented fourth
26/19	543.014646	19u3o4, nutho 4th	P41319	undevicesimal super-fourth
48/35	546.815381	rg4, rugu 4th	P435	septimal super-fourth
11/8	551.317942	1o4, ilo 4th	P411	super-fourth, paramajor fourth, undecimal semi-augmented fourth, octave-reduced 11th harmonic, Alphorn-Fa
18/13	563.382340	3u4, thu 4th	A413	tridecimal augmented fourth
25/18	568.717426	yy4, yoyo 4th	A425	classic augmented fourth, pental augmented fourth ([-1 -2 2⟩)
32/23	571.725653	23u4, twethu 4th	d523	vicesimotertial narrow tritone, octave-reduced 23rd subharmonic
88/63	578.582034	1or4, loru 4th	P4117	pentacircle diminished fifth
7/5	582.512193	zg5, zogu 5th	d575	augmented fourth, septimal tritone, Huygen's tritone
108/77	585.721154	1ur4, luru 4th	A477	swetismic augmented fourth ([2, 3, 0, -1, -1⟩)
1024/729	588.269995	sw5, sawa 5th	d5	Pytharogean diminished fifth
45/32	590.223716	y4, yo 4th	A45	smaller pental tritone, diatonic tritone ([-5 2 1⟩)
128/91	590.646432	3ur4, thuru 4th	A491	smaller huntmic tritone, 91st subharmonic
38/27	591.648014	ino 5th, 19o5	d519	smaller undevicesimal tritone
55/39	595.148994	3u1oy4, thuloyo 4th	A45513	smaller gassormic tritone
24/17	596.999591	17u4, su 4th	A417	smaller septendecimal tritone
181/128	599.815064	181o4	A4181	octave-reduced 181st harmonic, otonal quasi-tempered tritone
99/70	600.088324	1org4, lorugu 4th	P41135	homothetic quasi-tempered tritone
256/181	600.184936	181u5	d5181	octave-reduced 181st subharmonic, utonal quasi-tempered tritone
17/12	603.000409	17o5, iso 5th	d517	larger septendecimal tritone
78/55	604.851006	3o1ug5, tholugu 5th	d51355	larger gassormic tritone
27/19	608.351987	inu 4th, 19u4	A419	larger undevicesimal tritone
91/64	609.353568	3oz5, thozo 5th	d591	larger huntmic tritone, octave-reduced 91st harmonic
64/45	609.776284	g5, gu 5th	d55	larger pental tritone, diatonic tritone ([6 -2 -1⟩)
729/512	611.730005	Lw4, lawa 4th	A4	Pythagorean tritone
10/7	617.487807	ry4, ruyo 4th	A457	diminished fifth, Euler's tritone, superaugmented fourth
23/16	628.274347	23o5, twetho 5th	A423	vicesimotertial superaugmented fourth, octave-reduced 23rd harmonic
36/25	631.282574	gg5, gugu 5th	d525	pental diminished fifth, classic diminshed fifth ([2 2 -2⟩)
13/9	636.617660	3o5, tho 5th	d513	tridecimal diminished fifth
16/11	648.682058	1u5, lu 5th	P511	sub-fifth, paraminor fifth, octave-reduced 11th subharmonic
35/24	653.184619	zy5, zoyo 5th	P535	septimal sub-fifth
19/13	656.985354	19o3u5, nothu 5th	P51913	undevicesimal sub-fifth
22/15	663.049228	1og5, logu 5th	d5115	undecimal diminished fifth, semidiminished fifth
72/49	666.258889	rr4, ruru 4th	A449	septimal catafifth
25/17	667.672018	17uyy4, suyoyo 4th	AA45,517	vengeance subfifth
81/55	670.188347	1ug5, lugu 5th	P555	undecimal catafifth
28/19	671.312890	19uz5, nuzo 5th	P5719	hendrix fifth
34/23	676.681062	23u17o5, twethuso 5th	d61723	vicesimotertial grave fifth
262144/177147	678.494990	sasawa 6th, ssw6	d6	Pythagorean wolf fifth
40/27	680.448711	y5, yo 5th	P55	grave fifth
95/64	683.826730	19oy5, noyo 5th	P55,19	undevicesimal harmonic fifth
52/35	685.388041	3org5, thorugu 5th	d51335	animist fifth
180/121	687.587831	1uuy5, luluyo 5th	A5511,11	narrow biyatismic fifth
112/75	694.243478	zgg6, zogugu 6th	d6725	marvelous fifth
121/81	694.815881	1oo5, lolo 5th	d511,11	rastmic fifth, Alpharabian narrow fifth
323/216	696.603423	19o17o6, noso 6th	d617,19	undevicesimal meantone fifth
256/171	698.576982	19u5, inu 5th	P519	undevicesimal subharmonic fifth
16384/10935	700.001280	sg6, sagu 6th	d65	Kirnberger's fifth ("12-EDO"-esque fifth)
3/2	701.955001	w5, wa 5th	P5	just perfect fifth, octave-reduced 3rd harmonic, diapente
182/121	706.717684	3o1uuz6, tholuluzo 6th	m67,1311,11	tridecimal gentle fifth ([1, 0, 0, 1, -2, 1⟩)
176/117	706.880279	3u1o5, thulo 5th	P51113	minthmic fifth ([4, -2, 0, 0, 1, -1⟩)
128/85	708.730877	17ug5, sugu 5th	P585	archagall fifth, septendecimal subharmonic fifth
245/162	716.145523	zzy6, zozoyo 6th	m65,7,7	sensamagic fifth
121/80	716.322171	1oog5, lologu 5th	d51215	wide biyatismic fifth
50/33	719.354484	1uyy5, luyoyo 5th	A52511	ptolemismic fifth, "5EDO"-esque fifth
97/64	719.895411	97o5	P597	nonacesimoseptimal harmonic fifth
144/95	720.083272	19ug5, nugu 5th	P55,19	undevicesimal quasi-tempered 3/5-octave, undevicesimal "5EDO"-esque fifth
38/25	724.885588	19ogg6, nogugu 6th	d6195,5	undevicesimal diminished sixth, undevicesimal acute fifth
32/21	729.219093	r5, ru 5th	P57	super-fifth, wide fifth, octave-reduced 21st subharmonic
26/17	735.572252	17u3o5, sutho 5th	P51317	septendecimal super-fifth
49/32	737.651813	zz6, zozo 6th	m649	superduper fifth, octave-reduced 49th harmonic
23/15	740.005633	23og6, twethogu 6th	P5235	vicesimotertial ultraminor sixth
20/13	745.786052	3uy5, thuyo 5th	A5513	tridecimal semitenth, Barbados sixth, ratwolf wolf fifth
128/83	749.952682	83u5	P583	83rd subharmonic, octacesimotertial subharmonic semitenth
17/11	753.637467	17o1u6, solu 6th	m61711	septendecimal subminor sixth
14/9	764.915905	z6, zo 6th	m67	subminor sixth, septimal minor sixth
25/16	772.627428	yy5, yoyo 5th	A525	pental augmented fifth, classic augmented fifth, otonal minor sixth, octave-reduced 25th harmonic
36/23	775.635654	23u5, twethu 5th	m623	vicesimotertial augmented fifth
11/7	782.492036	1or5, loru 5th	P5117	undecimal subminor sixth, undecimal augmented fifth
63/40	786.422194	zg6, zogu 6th	m675	narrow minor sixth
52/33	787.254719	3o1u6, tholu 6th	m61311	tridecimal minor sixth
30/19	790.755699	19uy5, nuyo 5th	A5519	small undevicesimal minor sixth, Eratosthenes' minor sixth
128/81	792.179997	sw6, sawa 6th	m6	Pythagorean minor sixth, octave-reduced 81st subharmonic
19/12	795.558015	19o6, ino 6th	m619	large undevicesimal minor sixth, Boethius' minor sixth
27/17	800.909593	17u5, su 5th	A517	septendecimal quasi-tempered minor sixth
8/5	813.686286	g6, gu 6th	m65	classic minor sixth, just minor sixth, octave-reduced 5th subharmonic
21/13	830.253246	3uz6, thuzo 6th	M6713	tridecimal supraminor sixth
34/21	834.174502	17or6, soru 6th	m6177	septendecimal supraminor sixth
13/8	840.527662	3o6, tho 6th	m613	lesser tridecimal neutral sixth, octave-reduced 13th harmonic
80/49	848.661901	rry5, ruruyo aug 5th	A5549	(purple 6th)
49/30	849.383198	zzg7, zozogu 7th	d7495	(purple 6th)
18/11	852.592059	1u6, lu 6th	M611	undecimal neutral sixth
105/64	857.094621	zy6, zoyo 6th	M635	quasi-tempered 5/7-octave, octave-reduced 105th harmonic
23/14	859.448441	23or6, twethoru 6th	A5237	vicesimotertial neutral sixth
28/17	863.870497	17uz6, suzo 6th	M6717	septendecimal submajor sixth
38/23	869.238669	23u19o6, twethuno 6th	d71923	vicesimotertial submajor sixth
5/3	884.358713	y6, yo 6th	M65	classic major sixth, just major sixth
42/25	898.153480	zgg7, zogugu 7th	d7725	quasi-tempered major sixth
486/289	899.864185	17uu5, susu 5th	AA517, 17	semitonismic quasi-tempered major sixth
32/19	902.486984	19u6, inu 6th	M619	utonal major sixth, octave-reduced 19th subharmonic
27/16	905.865003	w6, wa 6th	M6	Pythagorean major sixth, octave-reduced 27th harmonic
76/45	907.289301	19og7, nogu 7th	d7195	Eratosthenes' major sixth
22/13	910.790821	3u1o6, thulo 6th	M61113	tridecimal major sixth
17/10	918.641696	17og7, sogu 7th	d7175	septendecimal diminished seventh, septendecimal major sixth, diatismic major sixth
46/27	922.409345	twetho 7th, 23o7	M623	vicesimotertial diminished seventh, vicesiomtertial supermajor sixth
12/7	933.129094	r6, ru 6th	M67	supermajor sixth, septimal major sixth
55/32	937.631656	1oy6, loyo 6th	M655	keenanismic supermajor sixth, octave-reduced 55th harmonic
19/11	946.195074	19o1u7, nolu 7th	m71911	undevicesimal semitwelfth, maximal major sixth
140/81	947.319617	zy7, zoyo 7th	m735	septimal semidiminished seventh, septimal inframinor seventh
97/56	951.069504	97or6, ninety-soru 6th	M6977	homothetic semitwelth
26/15	952.258947	3og7, thogu 7th	d7135	tridecimal semitwelfth
40/23	958.039367	23uy6, twethuyo 6th	m7523	vicesimotertial ultramajor sixth, vicesimotertial inframinor seventh, vicesimotertial semitwelfth
7/4	968.825906	z7, zo 7th	m77	subminor seventh, septimal minor seventh, harmonic seventh, natural seventh, octave-reduced 7th harmonic
225/128	976.537429	Lyy6, layoyo 6th	A625	marvel five-limit harmonic seventh, octave-reduced 225th harmonic ([-7, 2, 2⟩)
44/25	978.690515	1ogg7, logugu 7th	d7115,5	ptolemismic minor seventh, undecimal grave minor seventh
30/17	983.313305	17uy6, suyo 6th	A6517	septendecimal minor seventh
23/13	987.746686	23o3u7, twethothu 7th	A62313	vicesimotertial minor seventh
71/40	993.382830	71oy7	m7715	harmonic/just minor seventh meantone
16/9	996.089998	w7, wa 7th	m7	Pythagorean minor seventh, small minor seventh, octave-reduced 9th subharmonic
57/32	999.468017	19o7, ino 7th	m719	quasi-tempered minor seventh, octave-reduced 57th harmonic
25/14	1003.801521	ryy6, ruyoyo 6th	A6257	middle minor seventh
34/19	1007.442393	19u17o7, nuso 7th	m71719	quasi-meantone minor seventh
9/5	1017.596288	g5, gu 7th	m75	classic minor seventh, large minor seventh
38/21	1026.732109	19or7, noru 7th	m7197	minor neutral undevicesimal seventh
29/16	1029.577194	29o7, tweno 7th	m729	vicesimononal supraminor seventh, octave-reduced 29th harmonic
20/11	1034.995772	1uy7, luyo 7th	M7511	undecimal supraminor seventh, small undecimal neutral seventh
42/23	1042.506560	23uz7, twethuzo 7th	d8723	small vicesimotertial neutral seventh
64/35	1044.860380	rg7, rugu 7th	m735	septimal neutral seventh
11/6	1049.362941	1o7, ilo 7th	m711	undecimal neutral seventh, 21/4-tone
46/25	1055.646920	twethogugu octave, 23ogg8	m7235,5	large vicesimotertial neutral seventh
24/13	1061.427339	3u7, thu 7th	M713	tridecimal neutral seventh
50/27	1066.762425	yoyo 7th, yy7	M75,5	grave major seventh
13/7	1071.701755	3or7, thoru 7th	m7137	tridecimal submajor seventh, 16/3-tone
28/15	1080.557192	zg8, zogu octave	d875	grave major seventh, octave minus a ruyo aug unison
15/8	1088.268715	y7, yo 7th	M75	classic major seventh, just major seventh, octave-reduced 15th harmonic
32/17	1095.044590	17u7, su 7th	M717	septendecimal major seventh (FJS), septendecimal diminished octave (HEJI), octave-reduced 17th subharmonic
17/9	1101.045408	17o8, iso octave	d817	septendecimal major seventh (HEJI), septendecimal diminished octave (FJS)
36/19	1106.396986	19u7, inu 7th	M719	undevicesimal major seventh, Boethius' major seventh
243/128	1109.775004	Lw7, lawa 7th	M7	Pythagorean major seventh, octave-reduced 243rd harmonic
19/10	1111.199302	19og8, nogu 8ve	d8195	undevicesimal diminished octave, Eratosthenes' major seventh
40/21	1115.532907	ry7, ruyo 7th	M757	septimal acute major seventh
61/32	1116.884905	61o7, siwo 7th	M761	octave-reduced 61st harmonic
21/11	1119.462965	1uz8, luzo 8ve	P8711	large undecimal diminished octave, undecimal major seventh
44/23	1123.043595	23u1o7, twethulo 7th	d81123	small vicesimotertial major seventh
23/12	1126.319346	23o8, twetho 8ve	M723	large vicesimotertial major seventh
48/25	1129.327573	gg8, gugu octave	d825	classic diminished octave
25/13	1132.099766	3uyy7, thuyoyo 7th	A75,513	lesser tridecimal diminished octave
27/14	1137.039096	r7, ru 7th	M77	supermajor seventh, septimal major seventh
31/16	1145.035572	31o7, thiwo 7th	M731	tricesimoprimal ultramajor seventh (FJS), tricesimoprimal semidiminished octave (HEJI), octave-reduced 31st harmonic
64/33	1146.727057	1u8, lu octave	P811	undecimal semidiminished octave, octave-reduced 33rd subharmonic
35/18	1151.239619	zy8, zoyo octave	P835	septimal semidiminished octave
96/49	1164.303188	rr7, ruru 7th	M749	septimal ultramajor seventh
49/25	1165.024385	zzgg9, bizogu 9th	d94925	BP eighth
63/32	1172.735908	z8, zo octave	P87	septimal suboctave, octave-reduced 63rd harmonic
160/81	1178.493814	y8, yo octave	P85	syntonic suboctave
255/128	1193.224124	17oy8, soyo octave	P885	charismic suboctave, octave-reduced 255th harmonic
2/1	1200	w8, wa octave	P8	octave, diapason
Intervals larger than an octave
In the color names, "co" or "c" stands for compound, a conventional music term.

Frequency Ratio	Cents Value
(three decimal places)	Color Name	FJS Name	Some common names
27/13	1265.337	3u8	thu8ve	A813	Luxembourg eighth
23/11	1276.956	23o1u9	twetholu 9th	A82311	vicesimotertial minor ninth
19/9	1293.603	19o9	ino 9th	m919	undevicesimal minor ninth
17/8	1304.955	17o9	iso 9th	m917	septendecimal minor ninth
32/15	1311.731	g9	gu 9th	m95	classic minor ninth
15/7	1319.443	ry8	ruyo 8ve	A857	septimal minor ninth
13/6	1338.573	3o9	tho 9th	m913	tridecimal minor ninth, tridecimal neutral ninth
11/5	1365.004	1o9	ilo 9th	m9115	neutral ninth
